Date,äîâø,îÑè„çÇâcã∆óòâvó¶,âcã∆óòâvê¨í∑ó¶,îÑè„çÇê¨í∑ó¶,à◊ë÷ÉåÅ[Ég
2023/6/30,5688,12.6,5.7,5.6,144.33
2023/7/3,5732,12.58,5.66,5.58,144.99
2023/7/4,5596,12.55,5.61,5.56,144.52
2023/7/5,5591,12.53,5.57,5.54,144.51
2023/7/6,5658,12.5,5.53,5.52,144.56
2023/7/7,5580,12.48,5.48,5.5,144.41
2023/7/10,5579,12.45,5.44,5.47,144.19
2023/7/11,5425,12.43,5.4,5.45,142.56
2023/7/12,5349,12.41,5.35,5.43,141.48
2023/7/13,5412,12.38,5.31,5.41,139.9
2023/7/14,5427,12.36,5.26,5.39,138.68
2023/7/18,5519,12.33,5.22,5.37,138.07
2023/7/19,5573,12.31,5.18,5.35,138.88
2023/7/20,5511,12.29,5.13,5.33,139.04
2023/7/21,5525,12.26,5.09,5.31,139.7
2023/7/24,5548,12.24,5.05,5.29,140.08
2023/7/25,5556,12.21,5,5.26,141.83
2023/7/26,5536,12.19,4.96,5.24,141.58
2023/7/27,5549,12.16,4.92,5.22,141.09
2023/7/28,5387,12.14,4.87,5.2,140.34
2023/7/31,5502,12.12,4.83,5.18,139.49
2023/8/1,5563,12.09,4.79,5.16,140.97
2023/8/2,5548,12.07,4.74,5.14,142.44
2023/8/3,5467,12.04,4.7,5.12,143.2
2023/8/4,5483,12.02,4.65,5.1,143.47
2023/8/7,5354,12,4.61,5.08,142.88
2023/8/8,5570,11.97,4.57,5.05,141.67
2023/8/9,5677,11.95,4.52,5.03,143.07
2023/8/10,5796,11.92,4.48,5.01,143.47
2023/8/14,5730,11.9,4.44,4.99,143.97
2023/8/15,5806,11.87,4.39,4.97,145.11
2023/8/16,5797,11.85,4.35,4.95,145.6
2023/8/17,5756,11.83,4.31,4.93,145.72
2023/8/18,5695,11.8,4.26,4.91,146.5
2023/8/21,5676,11.78,4.22,4.89,145.72
2023/8/22,5742,11.75,4.18,4.87,145.31
2023/8/23,5807,11.73,4.13,4.85,146.3
2023/8/24,5991,11.7,4.09,4.82,145.76
2023/8/25,5852,11.68,4.05,4.8,144.89
2023/8/28,6016,11.66,4,4.78,146.23
2023/8/29,6014,11.63,3.96,4.76,146.52
2023/8/30,6057,11.61,3.91,4.74,146.52
2023/8/31,6134,11.58,3.87,4.72,146.06
2023/9/1,6093,11.56,3.83,4.7,146.22
2023/9/4,6042,11.54,3.78,4.68,145.75
2023/9/5,6075,11.51,3.74,4.66,146.25
2023/9/6,6061,11.49,3.7,4.64,146.59
2023/9/7,6071,11.46,3.65,4.61,147.85
2023/9/8,6029,11.44,3.61,4.59,147.94
2023/9/11,6058,11.41,3.57,4.57,147.02
2023/9/12,6093,11.39,3.52,4.55,147
2023/9/13,5967,11.37,3.48,4.53,146.72
2023/9/14,6027,11.34,3.44,4.51,147.33
2023/9/15,6018,11.32,3.39,4.49,147.21
2023/9/19,5813,11.29,3.35,4.47,147.64
2023/9/20,5645,11.27,3.3,4.45,147.73
2023/9/21,5697,11.25,3.26,4.43,147.86
2023/9/22,5782,11.22,3.22,4.4,148.46
2023/9/25,5859,11.2,3.17,4.38,147.66
2023/9/26,5786,11.17,3.13,4.36,148.5
2023/9/27,5796,11.15,3.09,4.34,148.93
2023/9/28,5768,11.12,3.04,4.32,149.13
2023/9/29,5764,11.1,3,4.3,149.6
2023/10/2,5719,11.09,3.07,4.33,149.58
2023/10/3,5678,11.09,3.14,4.36,149.75
2023/10/4,5562,11.08,3.2,4.39,149.93
2023/10/5,5745,11.07,3.27,4.42,149.3
2023/10/6,5900,11.06,3.34,4.45,148.93
2023/10/10,5927,11.06,3.41,4.48,148.75
2023/10/11,5868,11.05,3.47,4.5,148.6
2023/10/12,5922,11.04,3.54,4.53,148.65
2023/10/13,5862,11.03,3.61,4.56,149.26
2023/10/16,5711,11.03,3.68,4.59,149.94
2023/10/17,5728,11.02,3.74,4.62,149.58
2023/10/18,5711,11.01,3.81,4.65,149.59
2023/10/19,5577,11,3.88,4.68,149.85
2023/10/20,5565,11,3.95,4.71,149.89
2023/10/23,5560,10.99,4.01,4.74,149.97
2023/10/24,5610,10.98,4.08,4.77,149.89
2023/10/25,5609,10.97,4.15,4.8,149.8
2023/10/26,5533,10.97,4.22,4.83,149.99
2023/10/27,5511,10.96,4.28,4.85,150.25
2023/10/30,5400,10.95,4.35,4.88,150.44
2023/10/31,5480,10.94,4.42,4.91,149.86
2023/11/1,5589,10.94,4.49,4.94,149.86
2023/11/2,5641,10.93,4.55,4.97,151.49
2023/11/6,5982,10.92,4.62,5,150.62
2023/11/7,5371,10.91,4.69,5.03,149.67
2023/11/8,5369,10.91,4.76,5.06,150.11
2023/11/9,5500,10.9,4.82,5.09,150.67
2023/11/10,5600,10.89,4.89,5.12,151.08
2023/11/13,5736,10.88,4.96,5.15,151.43
2023/11/14,5654,10.88,5.03,5.18,151.71
2023/11/15,5700,10.87,5.09,5.2,151.77
2023/11/16,5673,10.86,5.16,5.23,150.7
2023/11/17,5688,10.85,5.23,5.26,151.34
2023/11/20,5633,10.85,5.3,5.29,150.77
2023/11/21,5533,10.84,5.36,5.32,149.95
2023/11/22,5573,10.83,5.43,5.35,148.19
2023/11/24,5560,10.82,5.5,5.38,148.3
2023/11/27,5574,10.82,5.57,5.41,149.64
2023/11/28,5642,10.81,5.63,5.44,149.53
