Date,äîâø,îÑè„çÇâcã∆óòâvó¶,âcã∆óòâvê¨í∑ó¶,îÑè„çÇê¨í∑ó¶,à◊ë÷ÉåÅ[Ég
2021/9/6,3299,12.99,12.71,8.62,109.84
2021/9/7,3303,12.97,12.66,8.56,109.8
2021/9/8,3302,12.94,12.61,8.5,110.28
2021/9/9,3339,12.92,12.56,8.43,110.23
2021/9/10,3398,12.9,12.51,8.37,109.79
2021/9/13,3410,12.87,12.46,8.3,109.99
2021/9/14,3393,12.85,12.41,8.24,110.05
2021/9/15,3411,12.82,12.36,8.18,109.65
2021/9/16,3417,12.8,12.31,8.11,109.41
2021/9/17,3410,12.77,12.26,8.05,109.81
2021/9/21,3336,12.75,12.2,7.98,109.57
2021/9/22,3246,12.72,12.15,7.92,109.22
2021/9/24,3267,12.7,12.1,7.86,110.42
2021/9/27,3193,12.67,12.05,7.79,110.75
2021/9/28,3153,12.65,12,7.73,111.01
2021/9/29,3133,12.62,11.95,7.66,111.65
2021/9/30,3208,12.6,11.9,7.6,111.95
2021/10/1,3186,12.6,11.84,7.6,111.43
2021/10/4,3117,12.6,11.79,7.6,110.99
2021/10/5,3064,12.6,11.73,7.6,110.94
2021/10/6,3104,12.61,11.68,7.59,111.63
2021/10/7,3126,12.61,11.62,7.59,111.38
2021/10/8,3142,12.61,11.57,7.59,111.74
2021/10/11,3244,12.61,11.51,7.59,112.3
2021/10/12,3205,12.61,11.46,7.59,113.5
2021/10/13,3236,12.61,11.4,7.59,113.48
2021/10/14,3253,12.62,11.34,7.58,113.37
2021/10/15,3310,12.62,11.29,7.58,113.9
2021/10/18,3244,12.62,11.23,7.58,114.26
2021/10/19,3305,12.62,11.18,7.58,114.19
2021/10/20,3309,12.62,11.12,7.58,114.68
2021/10/21,3239,12.62,11.07,7.58,114.28
2021/10/22,3249,12.63,11.01,7.57,114.04
2021/10/25,3199,12.63,10.96,7.57,113.73
2021/10/26,3192,12.63,10.9,7.57,113.85
2021/10/27,3314,12.63,10.84,7.57,114.16
2021/10/28,3274,12.63,10.79,7.57,113.85
2021/10/29,3305,12.63,10.73,7.57,113.68
2021/11/1,3390,12.63,10.68,7.57,114.13
2021/11/2,3318,12.64,10.62,7.56,114.12
2021/11/4,3377,12.64,10.57,7.56,114.16
2021/11/5,3411,12.64,10.51,7.56,113.78
2021/11/8,3305,12.64,10.46,7.56,113.62
2021/11/9,3327,12.64,10.4,7.56,113.27
2021/11/10,3396,12.64,10.34,7.56,112.87
2021/11/11,3447,12.65,10.29,7.55,113.94
2021/11/12,3459,12.65,10.23,7.55,114.26
2021/11/15,3456,12.65,10.18,7.55,114
2021/11/16,3513,12.65,10.12,7.55,114.19
2021/11/17,3479,12.65,10.07,7.55,114.88
2021/11/18,3430,12.65,10.01,7.55,114.18
2021/11/19,3396,12.66,9.96,7.54,114.37
2021/11/22,3388,12.66,9.9,7.54,114.12
2021/11/24,3416,12.66,9.84,7.54,115.21
